Date,Close,High,Low,Open,Volume
8/27/2015,10.61725426,10.62942912,10.1180487,10.27633242,662600
8/28/2015,10.83033085,10.92164875,10.64769389,10.65378191,1125100
8/31/2015,10.78162289,10.81815096,10.59898716,10.81815096,959500
9/1/2015,10.59898949,10.75118635,10.5076716,10.74509834,1126600
9/2/2015,10.89120579,10.90946983,10.65377908,10.67204312,554500
9/3/2015,10.9033823,10.95817326,10.79684497,10.81206442,973200
9/4/2015,10.92773247,10.95817137,10.75118359,10.81206256,1274600
9/8/2015,11.54869366,11.55478167,10.95208243,10.95817045,3744200
9/9/2015,11.48173332,11.54869916,11.41476632,11.49999621,1586900
9/10/2015,11.56087303,11.56087303,11.40867618,11.40867618,2551100
9/11/2015,11.71915913,11.71915913,11.49999526,11.54869821,2604900
9/14/2015,11.79829979,11.8378713,11.64610293,11.64610293,1755300
9/15/2015,11.70089054,11.82264846,11.54869373,11.78612155,1964700
9/16/2015,11.78612041,11.8104713,11.55478063,11.73741749,1859600
9/17/2015,12.03571987,12.07833478,11.71915034,11.71915034,3381800
9/18/2015,11.51217079,12.02355235,11.46346784,12.01137632,19763600
9/21/2015,11.53652287,11.60957671,11.36606196,11.57304979,1737400
9/22/2015,11.27474308,11.45129082,11.1742926,11.42693993,1414600
9/23/2015,11.49999237,11.53652045,11.28082972,11.35388355,1210000
9/24/2015,11.32344437,11.53043215,11.17733555,11.45737716,811800
9/25/2015,11.49390507,11.49390507,11.17733652,11.42085123,1017400
9/28/2015,11.37761879,11.48166376,11.25827333,11.35313707,1616900
9/29/2015,11.18789196,11.47554521,11.16341024,11.34701966,1395000
9/30/2015,11.36537457,11.45105822,11.11444285,11.27969091,1460400
10/1/2015,11.43881989,11.44494031,11.20012783,11.34701579,884000
10/2/2015,11.40210247,11.41434333,11.14505018,11.34702092,454800
10/5/2015,11.56734467,11.58570595,11.41433746,11.4449396,1415300
10/6/2015,11.52450562,11.5551066,11.40821978,11.50614433,592600
10/7/2015,11.62243462,11.62243462,11.45106602,11.5183896,1005800
10/8/2015,11.58570766,11.62242907,11.52450454,11.57958724,706000
10/9/2015,11.57958889,11.62243073,11.45106219,11.58570932,690600
10/12/2015,11.56734467,11.61630693,11.48778143,11.54898455,533600
10/13/2015,11.53062534,11.57346718,11.46942222,11.51226405,730400
10/14/2015,11.52450562,11.60406887,11.49390463,11.51838519,806600
10/15/2015,11.59794998,11.59794998,11.40822015,11.48778458,701300
10/16/2015,11.61630726,11.62854812,11.51838274,11.59182671,945500
10/19/2015,11.86112118,11.86724161,11.51226484,11.53674656,1261900
10/20/2015,11.92232609,11.92844652,11.6591534,11.70811568,984700
10/21/2015,11.9345665,11.9345665,11.80604096,11.91620521,974800
10/22/2015,12.05696869,12.05696869,11.89172062,11.91620117,1554700
10/23/2015,11.8060379,12.05696966,11.64691025,12.05084923,1234300
10/26/2015,11.89172459,11.98964914,11.73871732,11.91620514,1063700
10/27/2015,11.90396404,11.98964773,11.8029787,11.91008331,888100
10/28/2015,12.20541382,12.21156588,11.91012183,11.92857685,1308800
10/29/2015,12.2238636,12.24231861,12.08236857,12.08852063,1043700
10/30/2015,12.13158226,12.23001286,12.1254302,12.19310168,689200
11/2/2015,12.29768562,12.29768562,12.10697647,12.17464795,1377600
11/3/2015,12.2915287,12.29768076,12.23616136,12.2730737,1071200
11/4/2015,12.23616505,12.27922829,12.18079769,12.27922829,974300
11/5/2015,12.25462341,12.26077547,12.13773662,12.26077547,1251700
11/6/2015,12.51915646,12.51915646,12.06391455,12.1931043,2896500
11/9/2015,12.59913063,12.61143475,12.38381322,12.41457352,2329100
11/10/2015,12.59913063,12.59913063,12.40842146,12.54991532,1380400
11/11/2015,12.30383968,12.53146123,12.22078862,12.50070093,1779900
11/12/2015,12.0823679,12.33459647,12.05776083,12.29153323,1182900
11/13/2015,12.088521,12.40226902,12.04545776,12.12543219,2157200
11/16/2015,12.20541382,12.24232502,12.02085662,12.02085662,1498800
11/17/2015,12.0516119,12.29768848,12.0516119,12.25462522,1798300
11/18/2015,12.02700043,12.11005147,12.00239336,12.03315249,1463600
11/19/2015,12.00239468,12.05160998,11.97163438,11.99009056,1013800
11/20/2015,11.86705303,12.13773664,11.81168566,12.04545808,1277700
11/23/2015,12.02700043,12.06391278,11.82029686,11.91626688,885900
11/24/2015,12.01469421,12.05775744,11.92856658,11.97162981,821800
11/25/2015,11.98995972,12.28058869,11.94667485,12.28058869,931200
11/27/2015,12.00851822,12.1198229,11.97760078,12.02088567,613100
11/30/2015,12.05798531,12.21257486,11.96523181,12.04561786,14059800
12/1/2015,12.10745049,12.18165397,12.04561444,12.07653305,1576000
12/2/2015,11.96523571,12.16311022,11.81682983,12.15692649,1650800
12/3/2015,11.77354622,11.99615447,11.68697523,11.98378702,1680000
12/4/2015,12.50938988,12.52794105,11.79209424,11.81682914,4096400
12/7/2015,12.05798531,12.45991791,12.02706787,12.45991791,1877200
12/8/2015,11.98995972,12.0796219,11.92812487,12.05179574,1262400
12/9/2015,11.87247849,11.9899657,11.84155987,11.94668081,1315100
12/10/2015,11.96523571,12.05180551,11.84774728,11.87248218,1068800
12/11/2015,11.86629677,12.0085189,11.7611758,11.92813284,1172900
12/14/2015,12.44755077,12.55267172,11.87866115,11.94049721,3703200
